ID,Lexicons
28,"syndrome - ni mkusanyiko wa matatizo ya kiafya; ilhali kingamwili haufanyi kazi tena, mgonjwa anaathiriwa na magonjwa mbalimbali na kuonyesha dalili za magonjwa hayo yote."
29,Ikimaanisha kila Mtanzania afikae pale na aweze kumdu bei?
30,"Katika taarifa yake ya Jumapili Juni 29, 2014, Mbunge wa Kigoma Kaskazini ( Chadema ) Zitto Kabwe, amesema ni lazima Watanzania watafakari undani wa mfanyabiashara huyo ambaye sasa anatajwa kumiliki vitalu vya gesi na kushiriki biashara nyingi na serikali kwa siri."
31,"Baadhi ya shule zina wanafunzi hadi 2,000 kwa shule moja yenye walimu wanne ikiwa na uhaba wa madawati, vitabu maabara na nyenzo nyingine."
32,Pichani juu na chini ni washiriki wakitoa maoni wakati wa mkutano wa wanazuoni walio katika Mpango wa Fikira za Uendelezaji wa Miji Tanzania (Lab Tanzania) unaoratibiwa na taasisi ya Utafiti wa Kiuchumi na Kijamii (ESRF) uliofanyika katika ukumbi wa mikutano wa ESRF jijini Dar es Salaam mwishoni mwa wiki.
33,Orodha ya wenye Tuzo ya Nobel ya Kemia
34,"10 Kwa kuwa umelishika neno la subira yangu, mimi nami nitakulinda, utoke katika saa ya kuharibiwa iliyo tayari kuujilia ulimwengu wote, kuwajaribu wakaao juu ya nchi."
35,"Benki hii ili-target kuwapa mikopo wakulima 200,000 kila mwaka, lakini mpaka sasa ni wakulima 3,700 tu wameweza kupata mkopo."
36,MASHABIKI WA SIMBA SPORTS CLUB NA AZAM FOOTBALL CLUB WAKIBISHANA KUHUSU SEHEMU YA KUWEKA MABANGO YA NAYOONYESHA TAMBO MBALIMBALI KUHUSU TIMU ZAO
37,"Kuangalia movie ya hentai vile vile, hasa katika kampuni ya msichana mpenzi, alishuka kutoka picha."
38,Hiki ndicho tunachojua kuhusu operesheni hiyo.
39,Baada ya haja kubwa ndio utajua ni issue
40,"Walirudia-rudia kupaaza sauti hivi: “Ee Baali, tupe jibu!"
41,Asante kwa kushiriki na kutoa mwanga juu ya hili.
42,Ukaribu uliopo kati ya sayari hizo mbili na nyota - ni mkubwa kuliko ukaribu kati ya Mercury na jua.
43,Kama ukimpa mtu hakuna wa kumnyima; na kama ukimnyima mtu yeyote hakuna wa kumpa.
44,Hii iliboresha kiasi huduma za jamii kufikia serikali kumudu hata ujenzi wa barabara.
45,"“Naamuru jalada la kesi ya msingi lilirudishwe Mahakama ya Kisutu kwa ajili ya mshitakiwa kuendelea kushitakiwa kwa kosa moja la kula njama ambalo linaangukia katika sheria ya Kanuni ya Adhabu ya mwaka 2002,” alisema Jaji Kaduri."
46,"Serikali inasema bado inatafakari kuhusu tangazo hilo, kama anavyoeleza Lambert Mende msemaji wa serikali ya Kinshasa,"
47,"Lugha ni mfumo wa sauti za nasibu , zenye kubeba maana na zilizokubalika na jamii zitumike ili kuwasiliana."
48,"Tangu wakati huo, amecheza mechi 34 (Kushinda 21 Sare 13 Kushindwa 0), ilhali United wameshindwa mechi tano bila yeye kipindi hicho"
49,"Rais Jakaya Kikwete amewapa vidonge marais wa Kenya, Uganda na Rwanda, kwa kufanya mambo yanayoigawa Jumuiya ya Afrika Mashariki (EAC) na kueleza kuwa msimamo wa Tanzania ndio uliopelekea kutengwa na viongozi hao."
50,Mashabiki wakiwa makini kuwashuhudia Vinara wa Ligi Kuu Vodacom Simba kwenye Uwanja wa Ntungamo leo jioni mjini Bukoba.
51,Mfalme mwenye ushindi amekuwa ameketi kwenye kiti kitukufu cha enzi.
52,"Maana kama Wabunge 5 CHADEMA waliweza kusimama against wabunge zaidi ya 250 wa CCM vipi sasa wakti kuna Wabunge 50+ wa CHADEMA, ITAKUWA NI MOTO WA KUOTEA MBALI."
53,MUHIMBILI YAADHIMISHA SIKU YA WAKUNGA DUNIANI KWA KUPIMA AFYA WANANCHI
54,"Pengine kesi iliyokuwa na msisimko mkubwa ni ile ya ubakaji , akituhumiwa kumbaka menzi wake aliyekuwa na virusi vya Ukimwi."
55,"Juzi akiwa mkoani Geita katika kikao cha viongozi wa CCM wa mkoa huo, Bashiru, alitoa onyo kali kwa wanachama waliopo na wasio madarakani akiwamo Membe kuacha tamaa ya kuwania uongozi badala yake wakijenge chama hicho."
56,"Katika hotuba yake kwa taifa Musharraf mwenye umri wa miaka 64, alisema hii ni hatua kubwa mbele katika kipindi cha mpito kuelekea demokrasia iliokamilika nchini humo."
57,Hili si kwa madaktari tu limekuwa kweli hata kwa walimu na wafanyakazi wa kada nyingine.
58,"Wala usimsalie kabisa yeyote katika wao akifa, wala usisimame kaburini kwake."
59,Watoto wengi hujitokeza juu ya hadithi hizi na wanataka kuifanya tena mara nyingi.
60,"Tume ya Kiplagat ilianza kazi Agosti 3, 2009 na ilikwenda kutoka sehemu moja hadi nyingine nchini, kukusanya maoni kutoka kwa Wakenya kuhusu dhulma walizotendewa tangu Uhuru hadi 2008."
61,Kikosi cha timu ya Taifa cha vijana wenye umri chini ya miaka 15 (U-15) kimeingia kambini katika hosteli za TFF zilizopo Karume kujiandaa na mchezo wa kirafiki dhidi ya timu ya kombaini ya Morogoro (U-15) mwishoni mwa wiki hii.
62,"Hivyo, kuna hatari ya kutokea mabishano makali, kila pale ile tarehe iliopangiwa Croatia kuingizwa, mwaka 2010, inapokaribia."
63,Ziara hiyo ililenga kuzungumza na Watumishi na kufahamu changamoto zinazowakabili katika utekelezaji wa majukumu yao chuoni hapo.
64,Tukio hilo ni la mwaka 2008 lakini hukumu imetolewa juzi huku wakili wao akisema kuwa ni mara ya kwanza kwa mahakama hiyo kuwakumu watu kwa kushindwa ‘kutimiza wajibu wao wa kumkataza mtu aliyekunywa pombe kuacha kuendesha gari.
65,Huo uhuru wetu katika hali kama hii tunaweza kuuthamanisha kwa kiasi gani?
66,"Hii haimhusu Katibu wetu ni masuala ya Manispaa, alisema Kusila."
67,Shamba lilikuwa na deni la shilingi milioni 1.
68,gov au wataweza kuwasiliana na Idara ya Uhamiaji kwa barua pepe: drsniv@state.
69,Wapiga kura wa mashambani walijitokeza kwa wingi huku Wamarekani wanaohisi kutengwa na watu wa mijini wakipiga kura kwa idadi kubwa.
70,"""Hakuna mtumishi awezaye kuwatumikia mabwana wawili; kwa maana atamchukia mmoja na kumpenda mwingine, au ataambatana na mmoja na kumdharau mwingine."
71,Na hakika tulikuwa tukikaa humo katika baadhi ya makao ili kusikiliza; lakini sasa anaye taka kusikiliza atakuta kimondo kinamvizia!
72,Jakaya Mrisho Kikwete akiendelea kutoa ufafanuzi kuhusu masuala ya Demokrasia na Utawala Bora nchini Tanzania.
73,Home > TAARIFA MBALIMBALI > Rais Dkt.
74,"Tume ya utumishi ya walimu (TSD) ilitembelea chuo chetu na kutuelimisha pamoja na mambo mengine mengi, wajibu mkuu wa mwalimu."
75,Nini hatima ya watoto wa kike?
76,2015 _ Maoni Off juu ya Honda CBR 600RR 2009 C-ABS Top Speed ​​280km / h jinsi ya kufanya & Je Kila kitu!
77,"Matokeo mengi yamesheheni udanganyifu, ulaghai na yameandaliwa kwa lengo maalum la kumbeba mgombea wa CCM, John Pombe Magufuli."
78,Kwa maana hiyo kama CDM kikianza kujiimarisha vijijini CCM wajue watakuwa na hali mbaya sana na hawatakuwa na kitu tena Igunga 2015!
79,Amesema ugonjwa wa Malaria unaongoza kwa idadi kubwa ya wagonjwa wanaohudhuria katika vituo vyote vya afya na unaongoza kwa idadi kubwa ya wagonjwa katika vituo hivyo.
80,Kigezo hiki ni kwa ajili ya lugha ya Esperanto
81,"Jibu la Siku ya Jack kwa siku ya shida ya 2 Baada ya Mafanikio Jana, leo - 21."
82,"Jamani, je, hakuna uchakachuaji wa hiyo namba 3?"
83,"Wakati line ya chini ilikuwa dhaifu na biashara waliopotea katika vikwazo-hit Iran, incurring euro 512,000,000 ($ 678,000,000) malipo, uendeshaji faida kabla ya moja ya mbali gharama rose asilimia 15 hadi 583,000,000."
84,Timbulo - Waleo Wa Kesho (Official Video)
85,Huduma ilipungua kote nchini na watumiaji hawakuweza kutuma ujumbe kwa wapendwa wao zaidi ya saa moja.
86,Wengi wa wahudumu hapa ni watoto ambao pia ni wanafunzi wa Shule ya Msingi ama Sekondari ya Ng'ong'ona.
87,Katika hatua nyingine kiungo mshambuliaji kutoka Jamuhuri ya watu wa Korea aliesajiliwa na washika bunduki wa Ashburton Grove Arsenal Park Chu-young ametuma salamu kwa mashabiki wa klabu hiyo ya jijini London baada ya kupachika mabao matatu kati ya mabao sita yaliyo ididimiza timu ya taifa ya Lebanon katika mchezo wa kuwani nafasi ya kucheza fainali za kombe la dunia za mwaka 2014 ukanda wa barani Asia.
88,"Ayoub alisema kuwa hauna budi kuzingatia mahitaji muhimu ya mtoto wa kike hasa anapokuwa kwenye hedhi kutokana na takataka zinazotokana na hedhi ni taka hatarishi,hivyo ni vyema zikadhibitiwa vilivyo."
89,Hivi kuna tatizo au ugumu gani CHADEMA kushindwa kuungana na wabunge wa vyama vingine vya upinzani kuunda kambi ya upinzani?
90,"“Lakini katika ukaguzi huo, asilimia 90 ya wafanyakazi walibainika hawana sifa stahiki katika taaluma ya uandishi wa habari na utangazaji, jambo linaloifanya iendelee kuwa changamoto kubwa katika tasnia ya habari na utangazaji nchini,” alisema Dk."
91,Sehemu ya mazao hutumiwa kwa kutengeneza petroli ya ethanol.
92,"Mashindano ya CECAFA mwaka huu yatafanyika nchini Sudan katika miji ya El-Fashir na Kadugli ambayo ni miji iliyopo kusini mwa nchi ya Sudan yenye wakazi wapatao milioni 34 na eneo la ukubwa wa kilomita za mraba 1,886,068."
93,"Ramadhan Dau, anatamba kuwa Mfuko wake uko imara."
94,"Afisa Maendeleo ya Jamii wa Halmashauri ya Wilaya ya Uvinza, Benard Rusomyo akiwasilisha taarifa ya Wilaya yake."
95,Hivyo ni jukumu la kila mshiriki kuhakikisha anaelewa dhana ya mafunzo haya ikiwa ni pamoja na kuhakiki taarifa hizo kabla ya kuzipandisha kwenye tovuti”.
96,"Tunahitaji pia kukubali kuwa haiwezekani kudhibiti dunia ya nje, ambayo inaweza kumdhuru mtoto."
97,"Wapole, waoga, wenye upendo, wazuri, zamani ilizoeleka kuwa ni wachafu jambo ambalo sidhani kama ni kweli kweli."
98,Omotola ni mtoto wa kwanza katika familia ya watoto watatu.
99,Wadau mbalimbali wakiwa kwenye tafrija hiyo.
100,"KIUNGO wa Arsenal Aaron Ramsay, 27, amesema yupo katika rada za Klabu ya AC Milan."
101,"CV nyingi huanza kwa kuweka orodha ya ajira ambazo umefanya hivi karibuni, lakini kama hujafanya kazi kabla au umefanya kazi katika sekta isiyo rasmi, ni vyema zaidi kuanza CV yako na orodha ya ujuzi uliyoipata."
102,"Kwa maana, matokeo mazuri tunayotamani sote yanaletwa hasa kwa kumimina wingi wa mapendo, upendo ule wa kweli wa Kikristo unaotimiliza sheria yote ya Injili, ukiwa tayari kujitolea sadaka mwenyewe kwa ajili ya wengine, na ni dawa salama dhidi ya kiburi cha dunia na kujipenda binafsi kupita kiasi."
103,"Alisema waraka huo umeandikwa kwa mikono ya Bonny Kavishe, licha ya kuzungumzia mambo mengine, aliwaomba msamaha ndugu, jamaa na marafiki kwamba wamsamehe kwa kitendo cha kumuua baba yake."
104,"Katika kuelekea siku ya kilele cha operesheni Ukuta, Umoja wa vijana wa Chama Cha Demokrasia na Maendeleo, Bavicha taifa umelaani tishio la haki na uhuru wa amani linalofanywa na viongozi wa dola."
105,Serikali ya Syria inasema upinzani umeshindwa kuwasilisha hata orodha ya wajumbe wake na inapinga vikali kujumuishwa kwa waasi ambao wanaonekana kuwa ni magaidi.
106,"Napendekeza fedha za maendeleo walau zifike asilimia 20,” amesema Kubenea."
107,Home / MCHANGANYIKO / TABORA WAADHIMISHA MIAKA 54 YA MAPINDUZI KWA KUPANDA MITI
108,Kupindua baadhi ya miamba kwako kuangalia chini yake.
109,"Bale alikumbwa na majeraha msimu uliopita na kupoteza nafasi yake kwa Isco, lakini akaimarika chini ya uongozi wa Zidane na kuzawadiwa nafasi moja miongoni mwa 30 za wanaowania tuzo la Ballon d'Or."
110,"Chanzo cha picha, Getty Images Mamia ya watu bado hawajulikani walipo huku jamaa zao wakijaribu kupekua vifusi kuwatafuta wapendwa wao."
111,"Mnamo siku ya Alhamisi tarehe 11 Mei, Ranguma alikiwahutubia wanahabari alitangaza kuwa atawania kiti cha ugavana kivyake, kufuatia msukumo wa wafuasi wake."
112,Kwa sababu wao ni watu wasio fahamu.
113,Injini ya anga ya 1864 ilishinda medali ya dhahabu katika maonyesho ya dunia huko Paris.
114,"KWAMBA, tathmini ya kina ifanyike kuweza kubaini raia wa kigeni na wa ndani waliojipatia ardhi kinyemela kupitia serikali za vijiji kinyume na matakwa ya sheria ya ardhi Na."
115,"Msimu huu dabi hii mpaka sasa ishakutana mara 5 na kesho kutwa Jumapili ya July 30, 2017 watakutana tena kwa mara ya 6, hii haijawahi kutokea Dabi yoyote Duniani kukutana mara 6 ndani ya msimu mmoja."
116,Sasa leo amekuja na mpya na kusema haya hapa chini kuhusu Zari ambae ndio mchumba wa Diamond Kwa sasa.
117,"Wakati casino huu, karibuni katika SSL na teknolojia firewall ni kuajiriwa ili kuhakikisha kuwa taarifa kwa wateja ni agizo kuulinda kikamilifu."
118,Picha 11: Mapokezi ya timu ya taifa ya Ureno baada ya kutua Lisbon na kombe
119,Mfuko wa Mazingira Duniani (Global Environment Facility –GEF) ulianzishwa mwaka 1991.
120,"Nyerere, Magomeni Makurumla kwa kuzikutanisha timu za Biafra Kids dhid ya African Talent."
121,Serikali imesema itaendelea kuenzi na kuheshimu mchango mkubwa katika kupigania maendeleo na ustawi wa jamii uliofanywa na marehemu Sir George Kahama enzi za uhai wake alipokuwa kiongozi katika nyadhifa mbalimbali ndani na nje ya Tanzania.
122,Ni Uongozi Wa Chakula Cha Vifaa Vya Brass Sehemu Katika Westfalia Ya Kaskazini Ya Kaskazini
123,"MWAKILISHI wa kudumu wa Umoja wa Afrika katika Umoja wa Mataifa, Balozi Amina Salum Ali, amesema ushirikino mkubwa uliojengeka baina ya wajumbe wa Baraza la Wawakilishi wa vyama vya siasa vya CCM na CUF uendelezwe baada ya kukosekana kwa muda mrefu."
124,Mgogoro dhidi ya ziwa la tatu kwa ukubwa barani Afrika ambalo linajulikana kama ziwa Nyasa nchini Tanzania na Ziwa Malawi kwa upande wa Malawi umeanza katika kipindi cha nusu karne iliyopita.
125,• Tuwaheshimu Baba na Mama kwa matendo gani?
126,"Tume hiyo inayongozwa na Mwenyekiti wake Jaji Joseph Warioba na Katibu wa Tume, Assa Rashid tayari imeshachukuwa maoni ya baadhi ya viongozi wakuu, pamoja na Marais wastaafu wa Seriakli ya Zanzibar."
127,"Kwa maana ya tuko sawa kwa kua wote ni wanadamu na tuna mahitaji basic sawa, iyo aina kwere lakini kwenye maswala ya Wajibu na Nafasi, tumetofautishwa na Mungu mwenyewe."
128,"Wengine kulia ni Rudrovic Mwananzila na kushoto kwake ni Mkuu wa Wilaya ya Nzega, Jacqueline Liana."
129,Umezaliwa na kujikuta humo bila kuchagua.
130,Siyo kwamba najihusisha zaidi au la kuhusu mauaji haya au yale.
131,"Kupitia Gazeti la Uwazi Mizengwe ya Uchaguzi la Februari 23, mwaka huu, Komba aliulizwa na mwanahabari wetu kuhusu kuwa na deni benki na tishio la mali zake kupigwa mnada ambapo alikanusha vikali akisema hadaiwi."
132,Hiki ni choo kilichobuniwa kwa ufundi na ustadi wa hali ya juu.
133,Mzee wa Mshitu: KLABU YA SIMBA YAWATAMBULISHA KOCHA MPYA NA KATIBU MKUU MPYA MBELE YA WAANDISHI WA HABARI LEO JIJINI DAR
134,Ni fidia ambayo imekuwapo tangu Novemba 2013.
135,Video na viwambo kwa ajili ya mchezo Travian
136,"Wakati pingamizi la Nyalla halikusikilizwa kwa vile hakukuwa na ushahidi wowote uliowasilishwa, hivyo kushindwa kukidhi matakwa ya Ibara ya 11(3) ya kanuni husika."
137,"Waandike katika midia maalumu ya macho ambayo ni kuitwa DVD-ROMS, na wao kweli kuhifadhi kama kiasi kama 4."
138,"Samia Suluhu Hassan (wa pili kushoto), Katibu Mkuu Kiongozi, Balozi John Kijazi (wa pili kulia) wakiwa katika picha ya pamoja na waheshimiwa Mabalozi walioapishwa na uongozi wa Wizara ya Mambo ya Nje na Ushirikiano wa Afrika Mashariki."
139,Hivi hii ni ripoti ya repoa au daily news?
140,Tunatakiwa kijitahidi kuwapatia wanawake wa nchi zinazoendelea uwezo sawa na ule ule anaopewa mwanamke katika nchi zilizoendelea kwa kila baada ya
141,"Hata hivyo wamesema mamilioni ya watu bao wanakabiliwa na ukame, ambapo watoto Milioni Moja Na Nusu wenye umri wa chini ya miaka mitano wako hatarini kukumbwa na unyafuzi."
142,"Kwa kila makadirio ya Wizara yatakapowasilishwa, Wawakilishi wa wananchi hawakusita kutoa maoni yao kuhusu kero za Muungano, wiki iliyomalizika tulishuhudia mjadala mkali ukijitokeza ndani ya Baraza hilo kwa wajumbe kuelezea hisia zao na bila shaka za wananchi katika majimbo wanaoyoyaongoza."
143,"Ukurasa huu umebadilishwa kwa mara ya mwisho tarehe 8 Machi 2013, saa 03:00."
144,DIAMOND PLATNUMZ ATANGAZA BEI YA ACCOUNT YAKE YA INSTAGRAM
145,Hapa sisi kuonyesha Hindi za mawe maarufu katika Kituruki Market.
146,Mojawapo ya tofauti kubwa za kijamii miongoni wa waafrika au watanzania tulio wengi ukilinganisha na wenzetu wa magharibi ni kwamba sisi hatupendi kujitolea.
147,Rais wa kenya ambaye ni mwenyekiti wa jumuiya ya Afrika mashariki Uhuru Kenyata akiwa anapanda mti nje ya jengo la ofisi ya makao makuu ya jumuiya ya afrika mashariki jana wakati alipokuwa na ziara ya sikumbili ya kutembelea makao makuu ya jumuiya hiyo.
148,Amesema kwamba Serikali inatambua kuwa sekta binafsi ndio muhimili mkuu wa kujenga uchumi wa viwanda nchini.
149,Said Chitung akielezea mambo mbalimbali pamoja na malengo ya LSF kufikia 2021 wakati wa warsha ya wadau wanaotoa huduma ya msaada wa kisheria.
150,"Kwa wale wanaodhania kuwa hili ni la kwanzakusemwa ama kati ya machache, nikukumbushe hii niliyoiona kwenye blogu ya Kaka Josephat Lukaza ambapo pia niliuliza maswali haya haya kuwa wako wapi ndugu, jamaa na marafiki na viongozi?"
151,Mpango huo ulitibuliwa na vikosi vya usalama vya Castro.
152,"Leo nataka nikufundishe namna ya kumpata demu mkali, hata kama wewe ni muoga, unahisi kwamba mademu wa aina hiyo si taipu yako lakini naamini njia hizi zitakufanya kumpata kiurahisi kabisa na kufanya mambo yako, kama ni kupanga naye maisha au la."
153,"Alifikishwa katika mahakama ya Oyo jimbo la Oyo Kusini, magharibi mwa Nigeria."
154,Wiki ziliyopita tuliangalia jinsi ziara za mara kwa mara nje ya nchi za rais Jakaya Kikwete zilivyo hasara na balaa kwa taifa.
155,Nyota wa Manchester City amshangaza dadake kwa zawadi ya kipekee katika siku ya kuzaliwa (picha)
156,"Milanic alikuwa akicheza nafasi ya beki wa kati katika timu ya Partizan Belgrade, Sturm Graz na timu ya taifa ya Slovenia"
157,"Kufuatia matokeo ya Kidato cha nne kutangazwa siku chache zilizopita na kuonesha kuwa shule nyingi za serikali kufanya vibaya Mbunge wa Ulanga (CCM) Goodluck Mlinga ametoa ya moyoni na kumchana Waziri wa Elimu, Profesa."
158,Mlikwenda kumwona mtu aliyevalia mavazi maridadi?
159,[86] Utafiti huu ni kwa mujibu wa uchunguzi wa watu uliofanyika katika]] chumba cha[[kipima kalori [87] na kwa kutazama moja kwa moja.
160,Aliwataka kuishi maisha ya kumtumikia Mungu pasipo kuangalia hali zao za maisha ya ujane na kwamba wasiyawazie maisha ya awali ya ndoa zao.
161,"Kwa upande wake Mwenyekiti wa Chama cha NCCR-Mageuzi, James Mbatia, amekitaka CCM kuwaomba radhi Watanzania kutokana na kile alichokiita kufanya ulaghai wa kisiasa kwa kuweka ahadi hewa katika uchaguzi wa mwaka 2005/2010."
162,Aidha kushusha programu ya simu ya casino au tu kutembelea tovuti online kutoka browser yako ya mkononi kwa ajili ya toleo customized kwamba inafaa screen ya kifaa chako.
163,Gratian Mukoba na kulia kwake ni Rais wa Chama cha Walimu wa Nchi za Kusini mwa Afrika (SATO) Bw.
164,"SHILINGI MILIONI MIA MOJA NA TISINI (190,000,000) ZATUMIKA KUTIBU UGONJWA WA KIPINDUPINDU HALMASHAURI YA WILAYA YA IRINGA"
165,"Ndugu msomaji mapema mwaka huu, baadhi ya vyombo vya habari viliripoti kwamba Ditopile alikuwa akiuza asali, na kweli hadi anafariki dunia alikuwa akifanya biashara hiyo, ambayo aliwahi kunieleza kwamba inamuingizia kipato kizuri."
166,Katibu Tawala wa Mkoa wa Rukwa Benard Makali ameitaka sekta ya afya mkoani humo kuhakikisha wanaandaa mkakati wa kupunguza kama sio kumaliza kabisa tatizo la vifo vya watoto wachanga na akinamama vitokanavyo na matatizo ya uzazi.
167,Alikuwa akizungumza na Nipashe katika mahojiano maalumu kuhusu mipango yake ya sasa na ya baadaye katika kupambana .
168,• Kushinikiza taarifa kwenye whats trending.
169,Mvulana wa miaka 17 auwawa Homa Bay kwa madai kuwa alimtusi mwanafunzi wa shule ya upili
170,Matumizi ya Kazi za Kawaida 2010/2011
171,Waziri Mahiga ampokea nchini Waziri wa Mambo ya Nj.
172,Leah akiwa na mume wake mtarajiwa ingawa kwa sasa ni Mr and mrs.
173,"Waziri wa Madini, Anjella Kairuki, akikabidhi jana msaada wa mablanketi kwa waathirika wa mafuriko ya Mto Pangani katika Wilaya ya Same, kulia kwake (aliyevaa kanzu nyeupe) ni Balozi wa Kuwait nchini, Jaseen Al-Najem."
174,"Vile vile, Hayati Mzee Jomo Kenyatta na wenzake walienda jela sio kwa sababu ya kuiba, lakini kwa sababu ya kutetea wananchi."
175,Charles Mwijage akisaini kitabu cha wageni mara baada ya kuwasili katika Kiwanda cha Nondo cha Kamal Steels Ltd.
176,"Pamoja na kuwa sababu kuu ya uvimbe katika kizazi haijajulikana, lakini zipo sababu ambazo zimehakikiwa kusababisha mwanamke kupata uvimbe wa fibroid."
177,28 zimetumika katika utekelezaji wa miradi ya kijamii kwenye vijiji vilivyo jirani na hifadhi ya Mlima Kilimanjaro.
178,Katibu Mkuu wa Mambo ya Nje akutana na Balozi wa Palestina
179,Majeshi ya Kenya yaingia kwenye ardhi ya Somalia
180,""" Kwa ombi hili la Asiimwe, nilimpatia Sista kiasi kidogo cha pesa nilichokuwa nacho!"
181,Habari ndugu msomaji wa makala haya na msaka mafanikio?
182,"Hiyo ni baada ya droo ya mechi hizo za mchujo wa kuwania kucheza hatua ya makundi Kombe la Shirikisho iliyokwenda sambamba na upangwaji wa makundi ya Ligi ya Mabingwa Afrika Jumatano wiki hii mjini Cairo, Misri."
183,"Wizara yangu ilipata taarifa za kuwepo kwa ugonjwa huo na kuelekeza wataalam kufanya utafiti ili kubaini sababu, namna ya kuzui pamoja na tiba."
184,"Naibu waziri alisema, ili kuboresha elimu nchini kwa kupunguza msongamano wa wanafunzi madarasani serikali imeendelea kutenga bajeti kila mwaka kwa ajili ya ujenzi wa vyumba vya madarasa katika shule za msingi na sekondari."
185,"64] Na hatukukuteremshia Kitabu isipo kuwauwabainishie yale ambayo wanakhitalifiana, na kiweUwongofu na Rehema kwa watu wanao amini."
